data_dia,num_internacoes
2014-10-04,317
2014-10-05,208
2014-10-06,437
2014-10-07,483
2014-10-08,515
2014-10-09,426
2014-10-10,395
2014-10-11,383
2014-10-12,380
2014-10-13,492
2014-10-14,424
2014-10-15,544
2014-10-16,435
2014-10-17,393
2014-10-18,280
2014-10-19,187
2014-10-20,439
2014-10-21,284
2014-10-22,525
2014-10-23,339
2014-10-24,402
2014-10-25,339
2014-10-26,263
2014-10-27,456
2014-10-28,445
2014-10-29,580
2014-10-30,468
2014-10-31,545
2014-11-01,541
2014-11-02,230
2014-11-03,453
2014-11-04,346
2014-11-05,531
2014-11-06,342
2014-11-07,552
2014-11-08,302
2014-11-09,367
2014-11-10,423
2014-11-11,519
2014-11-12,447
2014-11-13,323
2014-11-14,327
2014-11-15,301
2014-11-16,271
2014-11-17,421
2014-11-18,528
2014-11-19,454
2014-11-20,277
2014-11-21,291
2014-11-22,403
2014-11-23,224
2014-11-24,518
2014-11-25,474
2014-11-26,353
2014-11-27,367
2014-11-28,493
2014-11-29,269
2014-11-30,289
2014-12-01,441
2014-12-02,527
2014-12-03,459
2014-12-04,382
2014-12-05,335
2014-12-06,289
2014-12-07,280
2014-12-08,437
2014-12-09,318
2014-12-10,534
2014-12-11,272
2014-12-12,313
2014-12-13,263
2014-12-14,209
2014-12-15,375
2014-12-16,391
2014-12-17,409
2014-12-18,362
2014-12-19,317
2014-12-20,337
2014-12-21,364
2014-12-22,365
2014-12-23,288
2014-12-24,303
2014-12-25,317
2014-12-26,354
2014-12-27,306
2014-12-28,279
2014-12-29,410
2014-12-30,320
2014-12-31,330
2015-01-01,300
2015-01-02,370
2015-01-03,240
2015-01-04,200
2015-01-05,320
2015-01-06,330
2015-01-07,420
2015-01-08,370
2015-01-09,400
2015-01-10,200
2015-01-11,290
2015-01-12,400
2015-01-13,410
2015-01-14,430
2015-01-15,370
2015-01-16,440
2015-01-17,320
2015-01-18,270
2015-01-19,430
2015-01-20,320
2015-01-21,410
2015-01-22,230
2015-01-23,310
2015-01-24,230
2015-01-25,250
2015-01-26,530
2015-01-27,440
2015-01-28,400
2015-01-29,280
2015-01-30,220
2015-01-31,280
2015-02-01,270
2015-02-02,370
2015-02-03,260
2015-02-04,320
2015-02-05,250
2015-02-06,380
2015-02-07,250
2015-02-08,200
2015-02-09,280
2015-02-10,350
2015-02-11,390
2015-02-12,350
2015-02-13,340
2015-02-14,490
2015-02-15,240
2015-02-16,290
2015-02-17,360
2015-02-18,290
2015-02-19,300
2015-02-20,370
2015-02-21,320
2015-02-22,300
2015-02-23,340
2015-02-24,420
2015-02-25,360
2015-02-26,360
2015-02-27,290
2015-02-28,200
2015-03-01,360
2015-03-02,400
2015-03-03,380
2015-03-04,420
2015-03-05,360
2015-03-06,370
2015-03-07,310
2015-03-08,310
2015-03-09,390
2015-03-10,440
2015-03-11,450
2015-03-12,460
2015-03-13,360
2015-03-14,300
2015-03-15,370
2015-03-16,400
2015-03-17,400
2015-03-18,500
2015-03-19,370
2015-03-20,480
2015-03-21,390
2015-03-22,270
2015-03-23,590
2015-03-24,380
2015-03-25,490
2015-03-26,450
2015-03-27,360
2015-03-28,490
2015-03-29,370
2015-03-30,540
2015-03-31,390
2015-04-01,550
2015-04-02,400
2015-04-03,480
2015-04-04,400
2015-04-05,460
2015-04-06,790
2015-04-07,450
2015-04-08,710
2015-04-09,630
2015-04-10,690
2015-04-11,520
2015-04-12,590
2015-04-13,750
2015-04-14,930
2015-04-15,680
2015-04-16,730
2015-04-17,790
2015-04-18,800
2015-04-19,580
2015-04-20,860
2015-04-21,720
2015-04-22,850
2015-04-23,550
2015-04-24,740
2015-04-25,670
2015-04-26,770
2015-04-27,730
2015-04-28,850
2015-04-29,560
2015-04-30,600
2015-05-01,890
2015-05-02,610
2015-05-03,590
2015-05-04,860
2015-05-05,910
2015-05-06,820
2015-05-07,630
2015-05-08,870
2015-05-09,500
2015-05-10,610
2015-05-11,830
2015-05-12,840
2015-05-13,830
2015-05-14,560
2015-05-15,980
2015-05-16,670
2015-05-17,790
2015-05-18,810
2015-05-19,1090
2015-05-20,900
2015-05-21,780
2015-05-22,1060
2015-05-23,660
2015-05-24,570
2015-05-25,920
2015-05-26,910
2015-05-27,890
2015-05-28,700
2015-05-29,720
2015-05-30,370
2015-05-31,620
2015-06-01,840
2015-06-02,790
2015-06-03,770
2015-06-04,600
2015-06-05,530
2015-06-06,610
2015-06-07,420
2015-06-08,1000
2015-06-09,700
2015-06-10,600
2015-06-11,720
2015-06-12,630
2015-06-13,530
2015-06-14,510
2015-06-15,660
2015-06-16,609
2015-06-17,630
2015-06-18,550
2015-06-19,470
2015-06-20,330
2015-06-21,460
2015-06-22,590
2015-06-23,640
2015-06-24,460
2015-06-25,520
2015-06-26,480
2015-06-27,390
2015-06-28,360
2015-06-29,700
2015-06-30,500
2015-07-01,630
2015-07-02,399
2015-07-03,680
2015-07-04,460
2015-07-05,320
2015-07-06,520
2015-07-07,600
2015-07-08,590
2015-07-09,530
2015-07-10,530
2015-07-11,420
2015-07-12,440
2015-07-13,730
2015-07-14,610
2015-07-15,700
2015-07-16,570
2015-07-17,650
2015-07-18,460
2015-07-19,340
2015-07-20,550
2015-07-21,580
2015-07-22,600
2015-07-23,520
2015-07-24,380
2015-07-25,350
2015-07-26,300
2015-07-27,510
2015-07-28,490
2015-07-29,460
2015-07-30,270
2015-07-31,370
2015-08-01,360
2015-08-02,350
2015-08-03,460
2015-08-04,530
2015-08-05,560
2015-08-06,310
2015-08-07,450
2015-08-08,208
2015-08-09,310
2015-08-10,430
2015-08-11,590
2015-08-12,490
2015-08-13,380
2015-08-14,460
2015-08-15,310
2015-08-16,200
2015-08-17,439
2015-08-18,540
2015-08-19,380
2015-08-20,468
2015-08-21,410
2015-08-22,330
2015-08-23,259
2015-08-24,409
2015-08-25,430
2015-08-26,380
2015-08-27,370
2015-08-28,400
2015-08-29,400
2015-08-30,290
2015-08-31,360
2015-09-01,300
2015-09-02,400
2015-09-03,350
2015-09-04,380
2015-09-05,330
2015-09-06,240
2015-09-07,300
2015-09-08,400
2015-09-09,548
2015-09-10,290
2015-09-11,340
2015-09-12,410
2015-09-13,150
2015-09-14,320
2015-09-15,360
2015-09-16,499
2015-09-17,339
2015-09-18,348
2015-09-19,370
2015-09-20,378
2015-09-21,428
2015-09-22,440
2015-09-23,470
2015-09-24,338
2015-09-25,360
2015-09-26,400
2015-09-27,339
2015-09-28,459
2015-09-29,327
2015-09-30,399
2015-10-01,430
2015-10-02,409
2015-10-03,279
2015-10-04,378
2015-10-05,338
2015-10-06,457
2015-10-07,539
2015-10-08,450
