objectid,data,estação,estacao_nome,poluente,classificação,iqar,codnum
59481,2017/01/28 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,56,
59482,2017/01/29 03:00:00+00,CA,Centro,O3,Boa,30,3
59483,2017/01/29 03:00:00+00,AV,Copacabana,MP10,Regular,52,1
59484,2017/01/29 03:00:00+00,SC,São Cristóvão,O3,Boa,43,7
59485,2017/01/29 03:00:00+00,SP,Tijuca,O3,Boa,44,8
59486,2017/01/29 03:00:00+00,IR,Irajá,NO2,Boa,12,5
59487,2017/01/29 03:00:00+00,BG,Bangu,O3,Regular,100,2
59488,2017/01/29 03:00:00+00,CG,Campo Grande,O3,Regular,67,4
59489,2017/01/29 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,52,6
59490,2017/01/29 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,57,
59491,2017/01/30 03:00:00+00,CA,Centro,O3,Boa,18,3
59492,2017/01/30 03:00:00+00,AV,Copacabana,MP10,Regular,52,1
59493,2017/01/30 03:00:00+00,SC,São Cristóvão,O3,Boa,36,7
59494,2017/01/30 03:00:00+00,SP,Tijuca,O3,Boa,27,8
59495,2017/01/30 03:00:00+00,IR,Irajá,CO[ppm],Boa,6,5
59496,2017/01/30 03:00:00+00,BG,Bangu,O3,Regular,73,2
59497,2017/01/30 03:00:00+00,CG,Campo Grande,O3,Boa,50,4
59498,2017/01/30 03:00:00+00,PG,Pedra de Guaratiba,O3,Boa,34,6
59499,2017/01/30 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,54,
59500,2017/01/31 03:00:00+00,CA,Centro,O3,Boa,20,3
59501,2017/01/31 03:00:00+00,AV,Copacabana,MP10,Regular,51,1
59502,2017/01/31 03:00:00+00,SC,São Cristóvão,O3,Boa,38,7
59503,2017/01/31 03:00:00+00,SP,Tijuca,O3,Boa,38,8
59504,2017/01/31 03:00:00+00,IR,Irajá,NO2,Boa,26,5
59505,2017/01/31 03:00:00+00,BG,Bangu,O3,Regular,86,2
59506,2017/01/31 03:00:00+00,CG,Campo Grande,O3,Boa,48,4
59507,2017/01/31 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,50,6
59508,2017/01/31 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,55,
59509,2017/02/01 03:00:00+00,CA,Centro,O3,Boa,26,3
59510,2017/02/01 03:00:00+00,AV,Copacabana,MP10,Boa,49,1
59511,2017/02/01 03:00:00+00,SC,São Cristóvão,O3,Boa,40,7
59512,2017/02/01 03:00:00+00,SP,Tijuca,O3,Boa,41,8
59513,2017/02/01 03:00:00+00,IR,Irajá,NO2,Boa,27,5
59514,2017/02/01 03:00:00+00,BG,Bangu,O3,Regular,94,2
59515,2017/02/01 03:00:00+00,CG,Campo Grande,O3,Boa,43,4
59516,2017/02/01 03:00:00+00,PG,Pedra de Guaratiba,MP10,Boa,33,6
59517,2017/02/01 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,56,
59518,2017/02/02 03:00:00+00,CA,Centro,O3,Boa,30,3
59519,2017/02/02 03:00:00+00,AV,Copacabana,MP10,Regular,51,1
59520,2017/02/02 03:00:00+00,SC,São Cristóvão,O3,Boa,42,7
59521,2017/02/02 03:00:00+00,SP,Tijuca,O3,Boa,49,8
59522,2017/02/02 03:00:00+00,IR,Irajá,NO2,Boa,26,5
59523,2017/02/02 03:00:00+00,BG,Bangu,O3,Inadequada,133,2
59524,2017/02/02 03:00:00+00,CG,Campo Grande,O3,Regular,65,4
59525,2017/02/02 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,54,6
59526,2017/02/02 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,61,
59527,2017/02/03 03:00:00+00,CA,Centro,O3,Boa,30,3
59528,2017/02/03 03:00:00+00,AV,Copacabana,MP10,Regular,51,1
59529,2017/02/03 03:00:00+00,SC,São Cristóvão,O3,Regular,65,7
59530,2017/02/03 03:00:00+00,SP,Tijuca,O3,Boa,47,8
59531,2017/02/03 03:00:00+00,IR,Irajá,NO2,Boa,35,5
59532,2017/02/03 03:00:00+00,BG,Bangu,O3,Regular,65,2
59533,2017/02/03 03:00:00+00,CG,Campo Grande,O3,Boa,42,4
59534,2017/02/03 03:00:00+00,PG,Pedra de Guaratiba,O3,Regular,64,6
59535,2017/02/03 03:00:00+00,,Unidade Móvel Bangu-Guarda Municipal,MP10,Regular,52,
59536,2017/02/04 03:00:00+00,CA,Centro,O3,Boa,38,3
59537,2017/02/04 03:00:00+00,AV,Copacabana,MP10,Regular,51,1
