data_dia,AQI,Qualidade_do_Ar
2016-10-29,21,N1 - Boa
2016-10-30,25,N1 - Boa
2016-10-31,30,N1 - Boa
2016-11-01,33,N1 - Boa
2016-11-02,36,N1 - Boa
2016-11-03,34,N1 - Boa
2016-11-04,18,N1 - Boa
2016-11-05,18,N1 - Boa
2016-11-06,27,N1 - Boa
2016-11-07,26,N1 - Boa
2016-11-08,26,N1 - Boa
2016-11-09,26,N1 - Boa
2016-11-10,32,N1 - Boa
2016-11-11,49,N2 - Moderada
2016-11-12,29,N1 - Boa
2016-11-13,20,N1 - Boa
2016-11-14,17,N1 - Boa
2016-11-15,24,N1 - Boa
2016-11-16,34,N1 - Boa
2016-11-17,34,N1 - Boa
2016-11-18,29,N1 - Boa
2016-11-19,29,N1 - Boa
2016-11-20,35,N1 - Boa
2016-11-21,43,N2 - Moderada
2016-11-22,64,N2 - Moderada
2016-11-23,51,N2 - Moderada
2016-11-24,39,N1 - Boa
2016-11-25,31,N1 - Boa
2016-11-26,29,N1 - Boa
2016-11-27,31,N1 - Boa
2016-11-28,62,N2 - Moderada
2016-11-29,34,N1 - Boa
2016-11-30,31,N1 - Boa
2016-12-01,25,N1 - Boa
2016-12-02,27,N1 - Boa
2016-12-03,34,N1 - Boa
2016-12-04,23,N1 - Boa
2016-12-05,23,N1 - Boa
2016-12-06,29,N1 - Boa
2016-12-07,55,N2 - Moderada
2016-12-08,45,N2 - Moderada
2016-12-09,29,N1 - Boa
2016-12-10,37,N1 - Boa
2016-12-11,29,N1 - Boa
2016-12-12,28,N1 - Boa
2016-12-13,32,N1 - Boa
2016-12-14,24,N1 - Boa
2016-12-15,28,N1 - Boa
2016-12-16,23,N1 - Boa
2016-12-17,20,N1 - Boa
2016-12-18,20,N1 - Boa
2016-12-19,22,N1 - Boa
2016-12-20,38,N1 - Boa
2016-12-21,34,N1 - Boa
2016-12-22,28,N1 - Boa
2016-12-23,37,N1 - Boa
2016-12-24,32,N1 - Boa
2016-12-25,30,N1 - Boa
2016-12-26,53,N2 - Moderada
2016-12-27,38,N1 - Boa
2016-12-28,106,N3 - Ruim
2016-12-29,107,N3 - Ruim
2016-12-30,57,N2 - Moderada
2016-12-31,42,N2 - Moderada
2017-01-01,33,N1 - Boa
2017-01-02,35,N1 - Boa
2017-01-03,23,N1 - Boa
2017-01-04,29,N1 - Boa
2017-01-05,36,N1 - Boa
2017-01-06,22,N1 - Boa
2017-01-07,26,N1 - Boa
2017-01-08,20,N1 - Boa
2017-01-09,24,N1 - Boa
2017-01-10,28,N1 - Boa
2017-01-11,29,N1 - Boa
2017-01-12,26,N1 - Boa
2017-01-13,22,N1 - Boa
2017-01-14,23,N1 - Boa
2017-01-15,26,N1 - Boa
2017-01-16,28,N1 - Boa
2017-01-17,19,N1 - Boa
2017-01-18,21,N1 - Boa
2017-01-19,25,N1 - Boa
2017-01-20,23,N1 - Boa
2017-01-21,27,N1 - Boa
2017-01-22,30,N1 - Boa
2017-01-23,25,N1 - Boa
2017-01-24,28,N1 - Boa
2017-01-25,26,N1 - Boa
2017-01-26,29,N1 - Boa
2017-01-27,34,N1 - Boa
2017-01-28,27,N1 - Boa
2017-01-29,20,N1 - Boa
2017-01-30,11,N1 - Boa
2017-01-31,21,N1 - Boa
2017-02-01,28,N1 - Boa
2017-02-02,32,N1 - Boa
2017-02-03,21,N1 - Boa
2017-02-04,49,N2 - Moderada
2017-02-05,44,N2 - Moderada
2017-02-06,33,N1 - Boa
2017-02-07,30,N1 - Boa
2017-02-08,20,N1 - Boa
2017-02-09,15,N1 - Boa
2017-02-10,14,N1 - Boa
2017-02-11,17,N1 - Boa
2017-02-12,12,N1 - Boa
2017-02-13,12,N1 - Boa
2017-02-14,15,N1 - Boa
2017-02-15,15,N1 - Boa
2017-02-16,19,N1 - Boa
2017-02-17,20,N1 - Boa
2017-02-18,22,N1 - Boa
2017-02-19,26,N1 - Boa
2017-02-20,32,N1 - Boa
2017-02-21,15,N1 - Boa
