data_dia,nome_estacao,codnum,ano,mes,dia,chuva,temp,ur,co,no,no2,nox,so2,o3,pm10,pm2_5,lat,lon,temp_min,temp_max,AQI,Qualidade_do_Ar
2012-04-12,ESTAÇÃO BANGU,2,2012,4,12,0.0,29.502,68.141,0.27,6.102,20.4,26.501,1.835,29.713,22.5,,-22.888,-43.471,25.46,35.31,26,N1 - Boa
2012-04-13,ESTAÇÃO BANGU,2,2012,4,13,0.0,29.463,68.333,0.298,10.951,18.588,29.53,0.144,21.892,27.438,,-22.888,-43.471,24.67,36.06,22,N1 - Boa
2012-04-14,ESTAÇÃO BANGU,2,2012,4,14,0.0,30.109,67.759,,6.069,21.642,27.712,1.065,53.209,48.688,,-22.888,-43.471,26.22,36.76,39,N1 - Boa
2012-04-15,ESTAÇÃO BANGU,2,2012,4,15,0.0,30.252,66.623,,5.37,23.395,28.742,2.07,33.268,54.542,,-22.888,-43.471,26.45,37.13,45,N2 - Moderada
2012-04-16,ESTAÇÃO BANGU,2,2012,4,16,11.2,25.017,86.837,0.107,11.4,19.636,31.01,1.496,19.28,15.5,,-22.888,-43.471,23.93,27.19,23,N1 - Boa
2012-04-17,ESTAÇÃO BANGU,2,2012,4,17,0.4,25.195,78.097,0.332,19.334,17.875,37.207,1.866,24.973,32.5,,-22.888,-43.471,21.31,29.97,25,N1 - Boa
2012-04-18,ESTAÇÃO BANGU,2,2012,4,18,0.0,26.158,67.393,0.426,13.932,22.458,36.39,0.907,43.282,29.312,,-22.888,-43.471,21.48,30.82,40,N1 - Boa
2012-04-19,ESTAÇÃO BANGU,2,2012,4,19,0.0,26.759,63.833,0.269,6.828,19.834,26.663,1.827,53.688,24.708,,-22.888,-43.471,22.34,33.1,39,N1 - Boa
2012-04-20,ESTAÇÃO BANGU,2,2012,4,20,0.0,27.032,65.008,0.423,11.337,28.161,39.499,2.796,54.698,40.938,,-22.888,-43.471,21.62,34.04,64,N2 - Moderada
2012-04-21,ESTAÇÃO BANGU,2,2012,4,21,9.0,26.057,76.888,0.528,8.078,26.957,35.034,1.842,46.72,53.5,,-22.888,-43.471,23.97,29.6,44,N2 - Moderada
2012-04-22,ESTAÇÃO BANGU,2,2012,4,22,15.8,23.923,90.879,0.392,4.43,13.917,18.348,0.058,36.082,15.75,,-22.888,-43.471,22.98,24.61,26,N1 - Boa
2012-04-23,ESTAÇÃO BANGU,2,2012,4,23,2.8,24.245,82.599,0.25,5.619,14.031,19.633,0.985,32.982,15.062,,-22.888,-43.471,20.96,28.03,22,N1 - Boa
2012-04-24,ESTAÇÃO BANGU,2,2012,4,24,0.6,24.974,79.945,0.506,16.194,26.787,42.985,1.133,33.635,37.583,,-22.888,-43.471,21.64,30.13,33,N1 - Boa
2012-04-25,ESTAÇÃO BANGU,2,2012,4,25,0.0,26.489,72.883,0.51,12.487,31.796,44.282,2.642,47.345,34.917,,-22.888,-43.471,21.72,31.71,67,N2 - Moderada
2012-04-26,ESTAÇÃO BANGU,2,2012,4,26,0.0,28.282,70.703,0.612,18.25,27.537,45.787,3.095,27.852,50.542,,-22.888,-43.471,23.44,34.76,41,N2 - Moderada
2012-04-27,ESTAÇÃO BANGU,2,2012,4,27,1.0,26.918,75.982,0.385,5.144,11.71,16.851,0.584,44.943,15.167,,-22.888,-43.471,24.78,31.98,23,N1 - Boa
2012-04-28,ESTAÇÃO BANGU,2,2012,4,28,0.0,25.266,78.406,0.337,4.128,11.893,15.973,0.249,47.021,15.583,,-22.888,-43.471,23.42,27.42,23,N1 - Boa
2012-04-29,ESTAÇÃO BANGU,2,2012,4,29,17.0,25.079,75.936,0.321,4.442,13.165,17.607,0.342,34.522,16.083,,-22.888,-43.471,22.64,27.38,20,N1 - Boa
2012-04-30,ESTAÇÃO BANGU,2,2012,4,30,58.6,22.613,93.179,0.382,7.924,15.746,23.668,0.031,23.065,9.792,,-22.888,-43.471,20.66,24.38,15,N1 - Boa
2012-05-01,ESTAÇÃO BANGU,2,2012,5,1,36.6,20.545,85.097,0.176,2.838,7.676,10.45,0.22,55.802,8.104,,-22.888,-43.471,19.13,21.74,25,N1 - Boa
2012-05-02,ESTAÇÃO BANGU,2,2012,5,2,0.0,21.921,70.6,0.263,5.441,12.752,18.185,0.466,44.321,18.083,,-22.888,-43.471,16.79,27.75,26,N1 - Boa
2012-05-03,ESTAÇÃO BANGU,2,2012,5,3,6.8,23.072,81.341,0.306,8.939,14.78,23.704,0.531,37.015,14.938,,-22.888,-43.471,20.34,28.54,23,N1 - Boa
2012-05-04,ESTAÇÃO BANGU,2,2012,5,4,0.0,24.085,78.357,0.373,13.454,21.27,34.721,0.971,27.523,21.0,,-22.888,-43.471,20.83,29.11,23,N1 - Boa
2012-05-05,ESTAÇÃO BANGU,2,2012,5,5,0.0,24.978,72.478,0.409,17.794,24.723,42.517,1.587,35.016,23.375,,-22.888,-43.471,19.76,30.96,32,N1 - Boa
2012-05-06,ESTAÇÃO BANGU,2,2012,5,6,0.0,25.238,68.908,0.364,6.638,16.672,23.276,0.34,43.016,21.625,,-22.888,-43.471,21.04,30.15,35,N1 - Boa
2012-05-07,ESTAÇÃO BANGU,2,2012,5,7,0.0,24.712,69.532,0.24,7.717,17.157,24.87,0.951,38.258,17.083,,-22.888,-43.471,20.19,29.2,28,N1 - Boa
2012-05-08,ESTAÇÃO BANGU,2,2012,5,8,2.4,22.973,80.24,0.341,12.333,23.842,36.175,0.647,17.516,22.333,,-22.888,-43.471,21.16,25.3,21,N1 - Boa
2012-05-09,ESTAÇÃO BANGU,2,2012,5,9,0.0,24.576,72.44,0.44,25.442,29.958,55.402,3.142,28.721,30.75,,-22.888,-43.471,20.35,30.53,29,N1 - Boa
2012-05-10,ESTAÇÃO BANGU,2,2012,5,10,0.0,25.908,67.965,0.507,22.442,36.442,58.881,3.188,41.312,39.0,,-22.888,-43.471,20.16,32.58,46,N2 - Moderada
2012-05-11,ESTAÇÃO BANGU,2,2012,5,11,0.0,27.565,63.2,0.504,17.271,25.751,43.022,0.384,35.522,40.042,,-22.888,-43.471,22.47,35.1,33,N1 - Boa
2012-05-12,ESTAÇÃO BANGU,2,2012,5,12,0.0,27.228,63.575,0.728,26.717,29.308,56.023,1.533,31.32,54.562,,-22.888,-43.471,22.62,32.62,45,N2 - Moderada
2012-05-13,ESTAÇÃO BANGU,2,2012,5,13,20.8,23.975,84.06,0.462,5.94,17.807,23.748,0.232,32.908,22.917,,-22.888,-43.471,21.4,26.54,20,N1 - Boa
2012-05-14,ESTAÇÃO BANGU,2,2012,5,14,25.8,21.384,90.662,0.362,14.239,25.029,39.267,2.18,25.882,15.875,,-22.888,-43.471,20.63,23.55,17,N1 - Boa
2012-05-15,ESTAÇÃO BANGU,2,2012,5,15,10.4,,88.498,0.409,19.803,31.24,51.042,1.923,19.072,11.958,,-22.888,-43.471,,,15,N1 - Boa
2012-05-16,ESTAÇÃO BANGU,2,2012,5,16,5.6,22.054,86.064,0.338,16.147,21.102,37.252,1.088,22.892,12.542,,-22.888,-43.471,20.51,24.81,19,N1 - Boa
